z,F_analytic
0.0,3600000.0
0.30303030303030304,3548595.0688363086
0.6060606060606061,3498117.4570101635
0.9090909090909092,3448553.9737052983
1.2121212121212122,3399891.6669856333
1.5151515151515151,3352117.820410675
1.8181818181818183,3305219.949712451
2.121212121212121,3259185.7995331255
2.4242424242424243,3214003.340222422
2.7272727272727275,3169660.7646940365
3.0303030303030303,3126146.485340206
3.3333333333333335,3083449.1310036373
3.6363636363636367,3041557.5440059886
3.9393939393939394,3000460.7772321487
4.242424242424242,2960148.091269533
4.545454545454546,2920608.951601659
4.848484848484849,2881833.025855265
5.151515151515151,2843810.181100255
5.454545454545455,2806530.4812017553
5.757575757575758,2769984.184223609
6.0606060606060606,2734161.7398826056
6.363636363636364,2699053.787052803
6.666666666666667,2664651.151319278
6.96969696969697,2630944.842580662
7.272727272727273,2597926.0526998537
7.575757575757576,2565586.153202268
7.878787878787879,2533916.6930210474
8.181818181818182,2502909.3962886254
8.484848484848484,2472556.1601740774
8.787878787878789,2442849.0527656856
9.090909090909092,2413780.3109981734
9.393939393939394,2385342.338624057
9.696969696969697,2357527.7042285968
10.0,2330329.1392878145
10.303030303030303,2276934.0046690805
10.606060606060606,2224733.692860592
10.90909090909091,2173700.8117099525
11.212121212121213,2123808.5816748715
11.515151515151516,2075030.821770579
11.818181818181818,2027341.935831332
12.121212121212121,1980716.8990788127
12.424242424242424,1935131.2449903507
12.727272727272728,1890561.0524601028
13.030303030303031,1846982.9332464323
13.333333333333334,1804374.0196989127
13.636363636363637,1762711.9527585104
13.93939393939394,1721974.8702246505
14.242424242424242,1682141.395283015
14.545454545454547,1643190.625288041
14.84848484848485,1605102.1207942395
15.151515151515152,1567855.8948305869
15.454545454545455,1531432.4024123421
15.757575757575758,1495812.530284803
16.060606060606062,1460977.5868936128
16.363636363636363,1426909.2925763517
16.666666666666668,1393589.769970271
16.96969696969697,1361001.5346311335
17.272727272727273,1329127.485858238
17.575757575757578,1297950.8977208163
17.87878787878788,1267455.410281085
18.181818181818183,1237625.0210093576
18.484848484848484,1208444.0763867064
18.78787878787879,1179897.2636907655
19.09090909090909,1151969.6029603677
19.393939393939394,1124646.4391348003
19.6969696969697,1097913.4343635507
20.0,1071756.5604825078
20.303030303030305,1046162.0916526731
20.606060606060606,1021116.5971575176
20.90909090909091,996606.9343552
21.21212121212121,972620.2417819604
21.515151515151516,949143.9324030526
21.81818181818182,926165.6870076925
22.12121212121212,903673.4477445415
22.424242424242426,881655.4117943377
22.727272727272727,860100.0251763626
23.03030303030303,838995.9766854764
23.333333333333336,818332.1919565577
23.636363636363637,798097.8276532212
23.93939393939394,778282.2657777689
24.242424242424242,758875.1080993876
24.545454545454547,739866.1706976696
24.848484848484848,721245.4786185944
25.151515151515152,703003.2606401615
25.454545454545457,685129.9441449366
25.757575757575758,667616.150096813
26.060606060606062,650452.6881193544
26.363636363636363,633630.5516731394
26.666666666666668,617140.9133295722
26.96969696969697,600975.1201386843
27.272727272727273,585124.68908849
27.575757575757578,569581.3026535223
27.87878787878788,554336.8044302047
28.181818181818183,539383.19485677
28.484848484848484,524712.6270154875
28.78787878787879,510317.4025149852
29.090909090909093,496189.9674505137
29.393939393939394,482322.9084400293
29.6969696969697,468708.94873401575
30.0,455340.9443970051
