z,F_analytic
0.0,4599999.999999999
0.30303030303030304,4534315.921290837
0.6060606060606061,4469816.750624097
0.9090909090909092,4406485.63306788
1.2121212121212122,4344306.018926086
1.5151515151515151,4283261.659413639
1.8181818181818183,4223336.602410353
2.121212121212121,4164515.1882923264
2.4242424242424243,4106782.0458397605
2.7272727272727275,4050122.0882201567
3.0303030303030303,3994520.509045818
3.3333333333333335,3939962.7785046464
3.6363636363636367,3886434.639563207
3.9393939393939394,3833922.104241078
4.242424242424242,3782411.4499555132
4.545454545454546,3731889.2159354514
4.848484848484849,3682342.199703949
5.151515151515151,3633757.453628102
5.454545454545455,3586122.281535575
5.757575757575758,3539424.2353968327
6.0606060606060606,3493651.112072217
6.363636363636364,3448790.950123025
6.666666666666667,3404832.026685743
6.96969696969697,3361762.8544086227
7.272727272727273,3319572.178449812
7.575757575757576,3278248.97353623
7.878787878787879,3237782.4410824487
8.181818181818182,3198162.006368798
8.484848484848484,3159377.3157779872
8.787878787878789,3121418.2340894863
9.090909090909092,3084274.8418309987
9.393939393939394,3047937.432686294
9.696969696969697,3012396.510958761
10.0,2977642.7890899843
10.303030303030303,2909415.672632714
10.606060606060606,2842715.274210756
10.90909090909091,2777506.592740495
11.212121212121213,2713755.4099178915
11.515151515151516,2651428.2722624065
11.818181818181818,2590492.4735622583
12.121212121212121,2530916.0377118164
12.424242424242424,2472667.701932115
12.727272727272728,2415716.900365687
13.030303030303031,2360033.748037108
13.333333333333334,2305589.025170833
13.636363636363637,2252354.1618580963
13.93939393939394,2200301.223064831
14.242424242424242,2149402.8939727414
14.545454545454547,2099632.4656458297
14.84848484848485,2050963.8210148616
15.151515151515152,2003371.4211724165
15.454545454545455,1956830.2919713256
15.757575757575758,1911316.0109194706
16.060606060606062,1866804.6943640604
16.363636363636363,1823272.9849586715
16.666666666666668,1780698.0394064572
16.96969696969697,1739057.5164731152
17.272727272727273,1698329.5652633042
17.575757575757578,1658492.8137543763
17.87878787878788,1619526.357581386
18.181818181818183,1581409.749067512
18.484848484848484,1544122.9864941249
18.78787878787879,1507646.5036048668
19.09090909090909,1471961.1593382477
19.393939393939394,1437048.2277833559
19.6969696969697,1402889.3883534258
20.0,1369466.7161720935
20.303030303030305,1336762.6726673045
20.606060606060606,1304760.0963679391
20.90909090909091,1273442.1938983111
21.21212121212121,1242792.5311658382
21.515151515151516,1212795.0247372338
21.81818181818182,1183433.9333987182
22.12121212121212,1154693.849895803
22.424242424242426,1126559.6928483204
22.727272727272727,1099016.6988364633
23.03030303030303,1072050.4146536642
23.333333333333336,1045646.6897222681
23.636363636363637,1019791.6686680049
23.93939393939394,994471.7840493714
24.242424242424242,969673.7492381064
24.545454545454547,945384.5514470224
24.848484848484848,921591.4449015373
25.151515151515152,898281.9441513172
25.454545454545457,875443.8175185302
25.757575757575758,853065.080679261
26.060606060606062,831133.9903747306
26.363636363636363,809639.0382490115
26.666666666666668,788568.944810009
26.96969696969697,767912.6535105411
27.272727272727273,747659.3249464039
27.575757575757578,727798.3311683896
27.87878787878788,708319.2501052616
28.181818181818183,689211.8600947616
28.484848484848484,670466.1345197895
28.78787878787879,652072.2365469254
29.090909090909093,634020.5139645453
29.393939393939394,616301.4941178152
29.6969696969697,598905.8789379089
30.0,581824.5400628397
