,z,True Strain,Observed Strain
0,0.0,0.0003770309506434319,0.00036478482906395485
1,0.30303030303030304,0.00037695821240300625,0.00037460245683631284
2,0.6060606060606061,0.0003768127359221435,0.00039529708257518445
3,0.9090909090909092,0.0003765945212008551,0.00037615205522301105
4,1.2121212121212122,0.0003763035682391353,0.00040162293953348234
5,1.5151515151515151,0.00037593987703698985,0.0003929749648080754
6,1.8181818181818183,0.0003755034475944073,0.00037560226890560617
7,2.121212121212121,0.0003749942799113991,0.0003656604151818187
8,2.4242424242424243,0.00037441237398795954,0.00039915558672617155
9,2.7272727272727275,0.0003737577298240943,0.0003530450249332596
10,3.0303030303030303,0.0003730303474197977,0.0003388507277842609
11,3.3333333333333335,0.0003722583918486285,0.00038480235953784774
12,3.6363636363636367,0.00037144186311058677,0.00040686119089549993
13,3.9393939393939394,0.0003705807612056782,0.00035968721801288967
14,4.242424242424242,0.0003696750861339028,0.00038306980982213414
15,4.545454545454546,0.00036872483789524913,0.00036389105811136677
16,4.848484848484849,0.0003677300164897286,0.0003996550496427279
17,5.151515151515151,0.0003666906219173356,0.00037964562212296243
18,5.454545454545455,0.0003656066541780757,0.0003494329494571454
19,5.757575757575758,0.00036447811327193177,0.00038958170558301114
20,6.0606060606060606,0.0003633049991989325,0.0003400562400516854
21,6.363636363636364,0.0003620873119590549,0.0003365973801449498
22,6.666666666666667,0.00036082505155231055,0.00036096218149606854
23,6.96969696969697,0.0003595182179786936,0.00035181425682234365
24,7.272727272727273,0.00035816681123819835,0.0003375341252353048
25,7.575757575757576,0.000356770831330842,0.0003510451836381739
26,7.878787878787879,0.0003553302782566131,0.0003810338122202503
27,8.181818181818182,0.00035384515201551165,0.00032651667236713983
28,8.484848484848484,0.00035231545260754337,0.000333242921914839
29,8.787878787878789,0.0003507411800327025,0.0003446904914565849
30,9.090909090909092,0.0003491223342909834,0.00033091581344913226
31,9.393939393939394,0.00034745891538240316,0.0003144141055069845
32,9.696969696969697,0.00034575092330694753,0.000373777038680058
33,10.0,0.00034399835806462215,0.000319918964324571
34,10.303030303030303,0.00034220121965542426,0.000339583099140567
35,10.606060606060606,0.0003403595080793567,0.00033480716425637126
36,10.90909090909091,0.00033847322333642227,0.0003433268998347485
37,11.212121212121213,0.00033654236542660955,0.0003051333826422364
38,11.515151515151516,0.0003345669343499329,0.00033521351491909445
39,11.818181818181818,0.00033254693010638365,0.000373443487366262
40,12.121212121212121,0.00033048235269596184,0.0003356460104536874
41,12.424242424242424,0.00032837320211867035,0.00032696757772715247
42,12.727272727272728,0.0003237332747832343,0.00035082486413598837
43,13.030303030303031,0.0003189871082691571,0.00031879108722446264
44,13.333333333333334,0.00031413470257644454,0.00028537466166519087
45,13.636363636363637,0.000309176057705088,0.00030736232154525525
46,13.93939393939394,0.0003041111736550932,0.00034321339015041944
47,14.242424242424242,0.0002989400504264602,0.0003049786304807451
48,14.545454545454547,0.00029366268801918604,0.0002667962357700262
49,14.84848484848485,0.0002882790864332708,0.0003021695308198257
50,15.151515151515152,0.00028278924566871734,0.00029050684693567974
51,15.454545454545455,0.0002771931657255256,0.00027382679777843426
52,15.757575757575758,0.0002714908466036885,0.00028415715285679314
53,16.060606060606062,0.0002657479245929389,0.0002435769178682536
54,16.363636363636363,0.0002600050025821878,0.00029368416908654696
55,16.666666666666668,0.00025426208057143673,0.00025188962896969375
56,16.96969696969697,0.0002485191585606871,0.00024835010291713824
57,17.272727272727273,0.00024277623654993602,0.00023183409737536804
58,17.575757575757578,0.00023703331453918497,0.0002572356392909924
59,17.87878787878788,0.0002312903925284339,0.00021061295701230837
60,18.181818181818183,0.0002255474705176814,0.00024471349606100697
61,18.484848484848484,0.00021980454850693175,0.00022423673557481872
62,18.78787878787879,0.00021406162649618068,0.00020996835699714768
63,19.09090909090909,0.00020831870448542963,0.00018437564925043555
64,19.393939393939394,0.00020257578247467856,0.00019758075207789973
65,19.6969696969697,0.0001968328604639275,0.00017588494098175718
66,20.0,0.00019108993845317642,0.00020825454194288413
67,20.303030303030305,0.00018534701644242607,0.00018764943125289737
68,20.606060606060606,0.000179604094431675,0.00021190255600741435
69,20.90909090909091,0.00017386117242092393,0.00019310668136567153
70,21.21212121212121,0.00016811825041017285,0.00017681980879230262
71,21.515151515151516,0.0001623753283994218,0.00016133658539653617
72,21.81818181818182,0.00015663240638867074,0.00015693146920528922
73,22.12121212121212,0.00015088948437792037,0.00014236518007353625
74,22.424242424242426,0.0001451465623675049,0.00012758079784211453
75,22.727272727272727,0.0001394036403571195,0.00014849305819771014
76,23.03030303030303,0.00013366071834676488,0.0001556838815560134
77,23.333333333333336,0.00012791779633661345,0.00015655140603006924
78,23.636363636363637,0.00012217487432652284,0.00014215427572143786
79,23.93939393939394,0.00011643195231650847,0.00012335538905934858
80,24.242424242424242,0.000110689030306922,0.00013027601091784215
81,24.545454545454547,0.00010494610829748043,9.996674298264684e-05
82,24.848484848484848,9.920318628812473e-05,7.516006285539024e-05
83,25.151515151515152,9.346026427861554e-05,0.00011514898041182483
84,25.454545454545457,8.771734226835535e-05,0.00011959634629403705
85,25.757575757575758,8.19744202561692e-05,9.064962715174299e-05
86,26.060606060606062,7.623149824000143e-05,5.387199638726189e-05
87,26.363636363636363,7.048857621677649e-05,6.32476786107967e-05
88,26.666666666666668,6.474565418254566e-05,6.803438688247752e-05
89,26.96969696969697,5.900273213324728e-05,3.296719878921275e-05
90,27.272727272727273,5.325981006627567e-05,1.4589987968099717e-05
91,27.575757575757578,4.7516887982615624e-05,8.67375464793628e-05
