,z,True Force,Observed Force
0,0.0,4600000.000000027,4459169.601836041
1,0.30303030303030304,4599305.474351441,4572214.285334466
2,0.6060606060606061,4597916.423054162,4810486.409564134
3,0.9090909090909092,4595832.846108186,4590744.48736298
4,1.2121212121212122,4593054.743513846,4884227.513398837
5,1.5151515151515151,4589582.115270701,4785485.624638185
6,1.8181818181818183,4585414.961378861,4586551.406457648
7,2.121212121212121,4580553.281838546,4473213.837448372
8,2.4242424242424243,4574997.076649535,4859544.023138973
9,2.7272727272727275,4568746.34581194,4330550.239567341
10,3.0303030303030303,4561801.089325759,4168735.4635170856
11,3.3333333333333335,4554430.2354170615,4698685.863843083
12,3.6363636363636367,4546633.784086174,4953956.0536126755
13,3.9393939393939394,4538411.735332879,4413135.988615811
14,4.242424242424242,4529764.089157286,4683803.411571946
15,4.545454545454546,4520690.845559504,4465102.378044857
16,4.848484848484849,4511192.004539204,4878329.8857986955
17,5.151515151515151,4501267.566096604,4650250.068461313
18,5.454545454545455,4490917.530231709,4304919.925941011
19,5.757575757575758,4480141.896944404,4768833.208521816
20,6.0606060606060606,4468940.6662347475,4201579.936041405
21,6.363636363636364,4457313.8381028455,4164179.6222406365
22,6.666666666666667,4445261.412548536,4446838.4069017535
23,6.96969696969697,4432783.3895719275,4344187.836273903
24,7.272727272727273,4419879.769172967,4182603.8801396918
25,7.575757575757576,4406550.551351707,4340705.602886024
26,7.878787878787879,4392795.736108095,4688386.376689923
27,8.181818181818182,4378615.323442129,4064337.8074858533
28,8.484848484848484,4364009.3133538095,4144675.210387709
29,8.787878787878789,4348977.705843193,4279394.787217841
30,9.090909090909092,4333520.500910168,4124145.51122888
31,9.393939393939394,4317637.698554898,3937622.3849875834
32,9.696969696969697,4301329.298777277,4623629.625568047
33,10.0,4284595.301577302,4007682.273566714
34,10.303030303030303,4267435.706954918,4237327.321034059
35,10.606060606060606,4249850.514910346,4185998.5609460133
36,10.90909090909091,4231839.725443311,4287657.005174063
37,11.212121212121213,4213403.338554031,3852200.03653374
38,11.515151515151516,4194541.354242346,4201977.0307877045
39,11.818181818181818,4175253.772508362,4645564.180996963
40,12.121212121212121,4155540.593352024,4214922.6575658675
41,12.424242424242424,4135401.8167733313,4119237.136270876
42,12.727272727272728,4091098.455526614,4402651.733083286
43,13.030303030303031,4045780.692033965,4043526.4500199785
44,13.333333333333334,3999448.5262953863,3668708.0558159687
45,13.636363636363637,3952101.9583109305,3931243.992472854
46,13.93939393939394,3903740.988080597,4353416.477776849
47,14.242424242424242,3854365.615604387,3923809.2862286638
48,14.545454545454547,3803975.840882274,3495011.6400169358
49,14.84848484848485,3752571.663914256,3912311.774359637
50,15.151515151515152,3700153.0847003623,3788905.49927043
51,15.454545454545455,3646720.1032405924,3608006.871849042
52,15.757575757575758,3592272.7195349177,3737935.241445621
53,16.060606060606062,3537437.6477631405,3282471.07042926
54,16.363636363636363,3482602.5759914173,3869912.990791548
55,16.666666666666668,3427767.504219667,3400484.310799623
56,16.96969696969697,3372932.4324479164,3370988.2925471044
57,17.272727272727273,3318097.3606761675,3192262.7601686358
58,17.575757575757578,3263262.288904417,3495589.023550202
59,17.87878787878788,3208427.2171326666,2970636.708697223
60,18.181818181818183,3153592.1453609164,3374001.4391091606
61,18.484848484848484,3098757.073589166,3149727.224869866
62,18.78787878787879,3043922.001817416,2996849.4025785364
63,19.09090909090909,2989086.9300456657,2713741.7948432337
64,19.393939393939394,2934251.858273915,2876809.0087109585
65,19.6969696969697,2879416.7865021653,2638515.712457207
66,20.0,2824581.7147304425,3021974.654862081
67,20.303030303030305,2769746.642958665,2796224.4132790845
68,20.606060606060606,2714911.571186915,3086343.8793079173
69,20.90909090909091,2660076.4994151783,2881399.852279776
70,21.21212121212121,2605241.427643428,2705309.3490379206
71,21.515151515151516,2550406.355871678,2538460.811338493
72,21.81818181818182,2495571.2840999276,2499010.5064910403
73,22.12121212121212,2440736.212328178,2342706.7128277603
74,22.424242424242426,2385901.1405564277,2183894.848514438
75,22.727272727272727,2331066.0687846774,2435594.3739514695
76,23.03030303030303,2276230.9970129277,2529497.373919286
77,23.333333333333336,2221395.925241177,2550682.4367159186
78,23.636363636363637,2166560.85346944,2396323.9695109627
79,23.93939393939394,2111725.7816976905,2191345.3042403515
80,24.242424242424242,2056890.70992594,2282140.9869515216
81,24.545454545454547,2002055.638154183,1944792.9370335967
82,24.848484848484848,1947220.566382433,1670724.6469059864
83,25.151515151515152,1892385.494610683,2141805.7301425897
84,25.454545454545457,1837550.4228389391,2204158.9691342786
85,25.757575757575758,1782715.3510671826,1882480.230366281
86,26.060606060606062,1727880.2792954391,1470746.0079889344
87,26.363636363636363,1673045.2075236957,1589774.8850549283
88,26.666666666666668,1618210.1357519387,1656030.561801155
89,26.96969696969697,1563375.0639801887,1263966.4305237918
90,27.272727272727273,1508539.992208442,1063837.0380794185
91,27.575757575757578,1453704.9204366917,1904742.4931492843
92,27.87878787878788,1398869.848664945,886916.2447913596
93,28.181818181818183,1344034.7768931948,1452819.4783701748
94,28.484848484848484,1289199.7051214466,1324874.3860029362
95,28.78787878787879,1234364.6333496962,1646019.381720243
96,29.090909090909093,1179529.561577946,1644899.6364569895
97,29.393939393939394,1124694.4898061967,894333.6994504686
98,29.6969696969697,1069859.418034448,1260070.7442819658
99,30.0,1015024.3462626986,1122203.3475011673
